id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11115,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19714696.0,19714696.0,False,,1,,,,2024-06-20T19:20:00.000Z,64941.72820376206,24843407938.099613,0.0397,-0.13325666,0.11861515,-2.66518121,-7.03930438,0.38875845,2.24135182,1280306429251.7952,54.0841,1363776292279.0,,2024-06-20T19:20:00.000Z,,,,,,2024-06-20 13:21:10.791599
1027,Ethereum,ETH,ethereum,9073,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122275219.40355605,122275219.40355605,True,,2,,,,2024-06-20T19:19:00.000Z,3521.1276632924223,16336800152.048298,-2.5481,-0.18403766,-0.8801959,1.32258612,-5.54176574,11.97665346,5.8879794,430546657577.0116,18.1861,430546657577.01,,2024-06-20T19:19:00.000Z,,,,,,2024-06-20 13:21:10.791599
825,Tether USDt,USDT,tether,89201,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112891354601.68275,116081999193.07195,True,,3,,,,2024-06-20T19:19:00.000Z,0.9993649644187175,52710022419.31522,-1.9836,0.01717296,-0.01640687,-0.03531044,-0.05620414,-0.07324371,-0.08450276,112819664574.6915,4.766,116008282993.24,,2024-06-20T19:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-20 13:21:10.791599
1839,BNB,BNB,bnb,2185,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147583788.69266722,147583788.69266722,False,,4,,,,2024-06-20T19:19:00.000Z,592.5201005809058,1762848387.748751,-4.2862,0.00224468,-1.12807651,-1.92566726,-3.52256828,3.00232254,8.84982583,87446361320.29033,3.6937,87446361320.29,,2024-06-20T19:19:00.000Z,,,,,,2024-06-20 13:21:10.791599
5426,Solana,SOL,solana,690,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,461894482.20459867,578461213.7553502,True,,5,,,,2024-06-20T19:19:00.000Z,134.29753728058094,2500249770.2987022,2.2287,-0.53782325,-1.6045901,-9.66632162,-24.11432056,-9.51151596,-21.63097555,62031291443.56672,2.6204,77685916419.68,,2024-06-20T19:19:00.000Z,,,,,,2024-06-20 13:21:10.791599
3408,USDC,USDC,usd-coin,19817,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32663331946.921524,32663331946.921524,False,,6,,,,2024-06-20T19:19:00.000Z,1.0001348877422513,5224312167.472649,5.5441,0.01186906,0.02105896,0.01098056,-0.0156849,0.00174765,0.00487962,32667737830.02225,1.38,32667737830.02,,2024-06-20T19:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-20 13:21:10.791599
52,XRP,XRP,xrp,1342,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55570463728.0,99987531962.0,False,,7,,,,2024-06-20T19:20:00.000Z,0.4911347562703273,1152650214.9235322,11.2595,-0.3222931,-1.09392603,1.78845627,-9.1958795,-6.22376842,-19.69477769,27292586158.880344,1.1528,49113475627.03,,2024-06-20T19:20:00.000Z,,,,,,2024-06-20 13:21:10.791599
74,Dogecoin,DOGE,dogecoin,1009,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144790626383.7052,144790626383.7052,True,,8,,,,2024-06-20T19:20:00.000Z,0.1243739872903244,744041414.6793287,8.0242,-0.21771761,0.95211287,-12.69969994,-25.57809134,-20.99517473,-17.54438347,18008187525.605057,0.7607,18008187525.61,,2024-06-20T19:20:00.000Z,,,,,,2024-06-20 13:21:10.791599
11419,Toncoin,TON,toncoin,430,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2458115113.2774725,5107864576.214038,True,,9,3414166606.0,24385322446.306637,,2024-06-20T19:19:00.000Z,7.142393813896567,258486793.13776577,-27.3094,-0.09463337,2.94506817,-5.28715489,11.94072539,17.30115506,64.58907013,17556826178.91868,0.7417,36482380351.37,,2024-06-20T19:19:00.000Z,,,,,,2024-06-20 13:21:10.791599
2010,Cardano,ADA,cardano,1196,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35734362537.886,36980576545.153,False,,10,,,,2024-06-20T19:19:00.000Z,0.38777770244982446,286844762.74417603,-12.3485,0.10675066,0.19210179,-8.73529676,-22.47285187,-22.00778604,-36.42818096,13856989003.450512,0.5853,17449996610.24,,2024-06-20T19:19:00.000Z,,,,,,2024-06-20 13:21:10.791599
