id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11113,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19713821.0,19713821.0,False,,1,,,,2024-06-18T05:11:00.000Z,65724.00914113194,35985416586.0039,126.2731,0.34270871,-1.06905657,-3.24168399,-2.06601906,5.66260465,7.07242589,1295671351610.639,54.8116,1380204191963.77,,2024-06-18T05:11:00.000Z,,,,,,2024-06-19 18:39:59.038357
1027,Ethereum,ETH,ethereum,9068,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122276991.71219052,122276991.71219052,True,,2,,,,2024-06-18T05:10:00.000Z,3452.9065785523067,20866008692.541637,83.1444,0.53503456,-3.64897499,-2.96525835,10.57284364,15.13777692,10.9055217,422211029088.6085,17.8725,422211029088.61,,2024-06-18T05:10:00.000Z,,,,,,2024-06-19 18:39:59.038357
825,Tether USDt,USDT,tether,88812,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112552589019.02098,116084537290.51714,True,,3,,,,2024-06-18T05:10:00.000Z,0.999961515860992,74450319657.77684,104.2648,-0.00054565,0.06626157,0.03986528,-0.01150635,-0.0601638,0.01779941,112548257529.53946,4.7643,116080069877.05,,2024-06-18T05:10:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-19 18:39:59.038357
1839,BNB,BNB,bnb,2182,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147583991.09141177,147583991.09141177,False,,4,,,,2024-06-18T05:10:00.000Z,597.0786332972729,2125209504.5940924,47.7823,0.77336258,-1.39672037,-3.39736659,2.94464166,10.1261407,17.81061439,88119247697.41704,3.7262,88119247697.42,,2024-06-18T05:10:00.000Z,,,,,,2024-06-19 18:39:59.038357
5426,Solana,SOL,solana,689,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,461793729.27553433,578312882.5373036,True,,5,,,,2024-06-18T05:10:00.000Z,137.51790979325236,3481324283.515007,165.7473,1.78461701,-7.28085348,-10.67294343,-21.23712597,-1.76183126,-17.00585666,63504908405.60253,2.6882,79528378813.04,,2024-06-18T05:10:00.000Z,,,,,,2024-06-19 18:39:59.038357
3408,USDC,USDC,usd-coin,19772,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32575991520.49828,32575991520.49828,False,,6,,,,2024-06-18T05:10:00.000Z,1.0000541912993381,6858398681.903308,120.1961,0.00185877,0.01181418,0.00909057,0.01811372,-0.03051055,0.01018397,32577756855.806004,1.379,32577756855.81,,2024-06-18T05:10:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-19 18:39:59.038357
52,XRP,XRP,xrp,1341,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55570463728.0,99987531962.0,False,,7,,,,2024-06-18T05:11:00.000Z,0.49380602711723937,2520817720.5569725,245.5369,1.11396354,0.87385343,1.40593108,-5.47924566,1.12366811,-14.53725465,27441029918.586334,1.1616,49380602711.72,,2024-06-18T05:11:00.000Z,,,,,,2024-06-19 18:39:59.038357
11419,Toncoin,TON,toncoin,424,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2438079895.6205015,5107742661.469087,True,,8,3414166606.0,25812976179.890903,,2024-06-18T05:10:00.000Z,7.560549662259483,468734991.04454005,73.9064,0.77066691,-4.70189107,8.63033291,17.92319934,11.50366637,100.5826466,18433224131.395218,0.7803,38617342054.08,,2024-06-18T05:10:00.000Z,,,,,,2024-06-19 18:39:59.038357
74,Dogecoin,DOGE,dogecoin,1009,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144755686383.70526,144755686383.70526,True,,9,,,,2024-06-18T05:11:00.000Z,0.12236970101203036,1472489990.4077716,245.5579,1.05539722,-9.54733838,-13.20639394,-21.38312742,-17.16143582,-2.2200264,17713710062.565247,0.7498,17713710062.57,,2024-06-18T05:11:00.000Z,,,,,,2024-06-19 18:39:59.038357
2010,Cardano,ADA,cardano,1196,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35734435393.377,36966827854.495,False,,10,,,,2024-06-18T05:10:00.000Z,0.38022524242118466,584642771.309247,210.1152,0.72706049,-7.88052908,-12.07145505,-20.92873218,-14.57439642,-34.63791826,13587134360.23093,0.5745,17110135908.95,,2024-06-18T05:10:00.000Z,,,,,,2024-06-19 18:39:59.038357
